id,modulo,caso de la matriz,estatus en la matriz,automatizado,prueba,que valida el codigo,etiquetas,comando,motivo si falta
PF_CP_095,Expediente pantalla Catálogos - Versiones,Validar Numero de caracteres campo Fecha,No Ejecutado,si,CatalogosConsultasPruebas#pfCp095CampoFechaDeVersiones,Versiones tiene un campo Fecha de 8 digitos,"consultas, regla_por_confirmar",mvn test -Dtest='CatalogosConsultasPruebas#pfCp095CampoFechaDeVersiones',
PF_CP_096,Expediente pantalla Catálogos - Versiones,Validar Botón calendario,No Ejecutado,si,CatalogosConsultasPruebas#pfCp096CalendarioDeVersiones,Versiones tiene boton de calendario,"consultas, regla_por_confirmar",mvn test -Dtest='CatalogosConsultasPruebas#pfCp096CalendarioDeVersiones',
PF_CP_097,Expediente pantalla Catálogos - Versiones,Validación del botón ver detalle del menú de catálogos - Versiones,No Ejecutado,si,CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos,"Ver detalle del catalogo con sus campos, EDITAR DATOS y la X",consultas,mvn test -Dtest='CatalogosConsultasPruebas#elDetalleDelCatalogoMuestraSusDatos',
PF_CP_098,Expediente pantalla Catálogos - Versiones,Validación de la edición de alguna nacionalidad sobre el detalle del menú de catálogos - Versiones,No Ejecutado,si,CatalogosAltasPruebas#versiones,"Versiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#versiones',
PF_CP_099,Expediente pantalla Catálogos - Versiones,Validación de la funcinalidad del botón inactivar,No Ejecutado,si,CatalogosAltasPruebas#versiones,"Versiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#versiones',
PF_CP_100,Expediente pantalla Catálogos - Versiones,Validación de la funcinalidad del botón activar registro,No Ejecutado,si,CatalogosAltasPruebas#versiones,"Versiones: agregar, editar, inactivar y activar un elemento","ola5, catalogos, escribe_datos",mvn test -Dtest='CatalogosAltasPruebas#versiones',
PF_CP_101,Expediente pantalla Tasas e interés,Validación de la pantalla del menú Tasas de interés,No Ejecutado,si,NavegacionPruebas#pfCp101PantallaTasas,Pantalla de Tasas de interes,navegacion,mvn test -Dtest='NavegacionPruebas#pfCp101PantallaTasas',
PF_CP_102,Expediente pantalla Tasas e interés,Validación de la funcionalidad de la opción de tasas de interés sobre el menú de tasas de interés,No Ejecutado,si,TasasCostosYReportesPruebas#pfCp102ConsultaDeTasasDeInteres,Tasas de interes muestra las tablas del periodo elegido,consultas,mvn test -Dtest='TasasCostosYReportesPruebas#pfCp102ConsultaDeTasasDeInteres',
PF_CP_103,Expediente pantalla Tasas e interés,Validar que se pueda editar el porcentaje de interes sobre la pantalla y opción de tasas de interés,No Ejecutado,no,,,,,Modifica tasas vigentes: falta un periodo de prueba acordado.
PF_CP_104,Expediente pantalla Tasas e interés,Validar caracteres campos tasa de interes,No Ejecutado,si,TasasCostosYReportesPruebas#pfCp104CaracteresDelPorcentajeDeLaTasa,El porcentaje de la tasa solo acepta numeros,consultas,mvn test -Dtest='TasasCostosYReportesPruebas#pfCp104CaracteresDelPorcentajeDeLaTasa',
PF_CP_105,Expediente pantalla Tasas e interés,Validación de la funcionalidad de la opción de Costo Financiero Total sobre el menú de tasas de interés,No Ejecutado,si,TasasCostosYReportesPruebas#pfCp105ConsultaDeCostoFinancieroTotal,Costo Financiero Total muestra su tabla,consultas,mvn test -Dtest='TasasCostosYReportesPruebas#pfCp105ConsultaDeCostoFinancieroTotal',
PF_CP_106,Expediente pantalla Tasas e interés,Validar que se pueda agregar el porcentaje para costo financiero total,No Ejecutado,no,,,,,Modifica tasas vigentes: falta un periodo de prueba acordado.
PF_CP_107,Expediente pantalla Tasas e interés,Validar caracteres campos costo financiero total,No Ejecutado,si,TasasCftPruebas#pfCp107CaracteresDelCostoFinancieroTotal,Los campos de Costo Financiero Total solo aceptan numeros y hasta 9 caracteres,"ola5, tasas",mvn test -Dtest='TasasCftPruebas#pfCp107CaracteresDelCostoFinancieroTotal',
PF_CP_108,Solicitudes pantalla Expediente,Validación de la pantalla del menú Expediente,No Ejecutado,si,NavegacionPruebas#pfCp108PantallaSolicitudes,Pantalla de Solicitudes con sus botones,"navegacion, humo",mvn test -Dtest='NavegacionPruebas#pfCp108PantallaSolicitudes',
PF_CP_109,Solicitudes pantalla Expediente,Validacion de la tabla de solicitudes,No Ejecutado,si,ExpedienteConsultasPruebas#pfCp109ColumnasDeLaTablaDeSolicitudes,La tabla de solicitudes muestra todas sus columnas,"consultas, humo",mvn test -Dtest='ExpedienteConsultasPruebas#pfCp109ColumnasDeLaTablaDeSolicitudes',
PF_CP_110,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón crear solicitud,No Ejecutado,no,,,,,Crea una solicitud real: requiere ambiente o datos desechables.
PF_CP_111,Solicitudes pantalla Expediente,Validar Campo Nombres,No Ejecutado,si,ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo ; ValidacionesDeCamposPruebas#elCampoSoloDebePermitirSuTipoDeCaracter,Maximo de caracteres por campo,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo',
PF_CP_112,Solicitudes pantalla Expediente,Validar Campo DNI,No Ejecutado,si,ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo ; ValidacionesDeCamposPruebas#elCampoSoloDebePermitirSuTipoDeCaracter,Maximo de caracteres por campo,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo',
PF_CP_113,Solicitudes pantalla Expediente,Validar Campo Apellidos,No Ejecutado,si,ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo ; ValidacionesDeCamposPruebas#elCampoSoloDebePermitirSuTipoDeCaracter,Maximo de caracteres por campo,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo',
PF_CP_114,Solicitudes pantalla Expediente,Validar Campo CUIL,No Ejecutado,si,ValidacionesDeCamposPruebas#pfCp114CampoCuil,Campo CUIL 11 digitos,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#pfCp114CampoCuil',
PF_CP_115,Solicitudes pantalla Expediente,Validar Campo Fecha de Nacimiento,No Ejecutado,si,ValidacionesDeCamposPruebas#elCampoSoloDebePermitirSuTipoDeCaracter ; ValidacionesDeCamposPruebas#pfCp115CampoFechaDeNacimiento,Tipo de caracteres permitidos por campo,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#elCampoSoloDebePermitirSuTipoDeCaracter',
PF_CP_116,Solicitudes pantalla Expediente,Validar Campo Fecha de Nacimiento,No Ejecutado,si,ValidacionesDeCamposPruebas#pfCp115CampoFechaDeNacimiento,Fecha de nacimiento con formato DD/MM/AAAA y calendario,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#pfCp115CampoFechaDeNacimiento',
PF_CP_117,Solicitudes pantalla Expediente,Validar Campo Dirección,No Ejecutado,si,ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo ; ValidacionesDeCamposPruebas#elCampoSoloDebePermitirSuTipoDeCaracter,Maximo de caracteres por campo,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#elCampoDebePermitirElMaximo',
PF_CP_118,Solicitudes pantalla Expediente,Validar opción Adicionales PEP,No Ejecutado,si,ValidacionesDeCamposPruebas#pfCp118OpcionesDeAdicionalesPep,Adicionales PEP muestra dos opciones y ninguna preseleccionada,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#pfCp118OpcionesDeAdicionalesPep',
PF_CP_119,Solicitudes pantalla Expediente,Adicionales,No Ejecutado,si,ValidacionesDeCamposPruebas#pfCp119SeccionDeAdicionales,Con adicionales habilita la seccion para agregar un PEP,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#pfCp119SeccionDeAdicionales',
PF_CP_120,Solicitudes pantalla Expediente,Agregar adicional PEP,No Ejecutado,si,ValidacionesDeCamposPruebas#pfCp120ModalDeAdicionalPep,El modal de PEP pide sus cinco datos y son obligatorios,validaciones,mvn test -Dtest='ValidacionesDeCamposPruebas#pfCp120ModalDeAdicionalPep',
PF_CP_121,Solicitudes pantalla Expediente,Editar/Eliminar PEP,No Ejecutado,si,SolicitudesPepPruebas#pfCp121EditarYEliminarAdicionalPep,El adicional PEP se puede editar y eliminar,"ola6, solicitudes",mvn test -Dtest='SolicitudesPepPruebas#pfCp121EditarYEliminarAdicionalPep',
PF_CP_122,Solicitudes pantalla Expediente,Validar Check Condicionada a ingresos,No Ejecutado,si,SolicitudesPepPruebas#pfCp122CheckCondicionadaAIngresos,El alta de solicitud ofrece el check Condicionada a ingresos,"ola6, solicitudes, regla_por_confirmar",mvn test -Dtest='SolicitudesPepPruebas#pfCp122CheckCondicionadaAIngresos',
PF_CP_123,Solicitudes pantalla Expediente,Condicionada a ingresos,No Ejecutado,no,,,,,"Depende del check Condicionada a ingresos, que no existe hoy."
PF_CP_124,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón eliminar solicitudes,No Ejecutado,si,ExpedienteDictamenPruebas#pfCp124EliminarSolicitudesConLayout,La pantalla ofrece eliminar solicitudes con un layout,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteDictamenPruebas#pfCp124EliminarSolicitudesConLayout',
PF_CP_125,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón importar,No Ejecutado,si,DescargasPruebas#expedienteOfreceImportar,Expediente ofrece importar solicitudes masivas,"descargas, regla_por_confirmar",mvn test -Dtest='DescargasPruebas#expedienteOfreceImportar',
PF_CP_126,Solicitudes pantalla Expediente,Cargar documento,No Ejecutado,si,ExpedienteDictamenPruebas#pfCp126CargarLayoutDeSolicitudes,La pantalla permite cargar el layout de solicitudes,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteDictamenPruebas#pfCp126CargarLayoutDeSolicitudes',
PF_CP_127,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón Exportar,No Ejecutado,si,DescargasPruebas#exportarSolicitudesAExcel,Exportar descarga la tabla de solicitudes,"descargas, regla_por_confirmar",mvn test -Dtest='DescargasPruebas#exportarSolicitudesAExcel',
PF_CP_128,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón Filtrar,No Ejecutado,si,ExpedienteConsultasPruebas#pfCp128FiltrarSolicitudes,El filtro de solicitudes busca por sus campos,consultas,mvn test -Dtest='ExpedienteConsultasPruebas#pfCp128FiltrarSolicitudes',
PF_CP_129,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón detalle,No Ejecutado,si,ExpedienteConsultasPruebas#pfCp129DetalleDeLaSolicitud,El detalle de la solicitud muestra sus pestanas,consultas,mvn test -Dtest='ExpedienteConsultasPruebas#pfCp129DetalleDeLaSolicitud',
PF_CP_130,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus creado,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp130DetalleCreado,Detalle de una solicitud en estatus Creado,"ola6, expediente",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp130DetalleCreado',
PF_CP_131,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus ingreso,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp131DetalleIngreso,Detalle de una solicitud en estatus Ingreso,"ola6, expediente",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp131DetalleIngreso',
PF_CP_132,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus aviso de privacidad,Cancelado,si,ExpedienteEstadosPruebas#pfCp132DetalleAvisoDePrivacidad,Detalle de una solicitud en estatus Aviso de privacidad,"ola6, expediente",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp132DetalleAvisoDePrivacidad',
PF_CP_133,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus identificación oficial,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp133DetalleIdentificacionOficial,Detalle de una solicitud en estatus Identificación oficial,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp133DetalleIdentificacionOficial',
PF_CP_134,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus Validación de identidad,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp134DetalleValidacionDeIdentidad,Detalle de una solicitud en estatus Validación de identidad,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp134DetalleValidacionDeIdentidad',
PF_CP_135,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus Terminos y condiciones,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp135DetalleTerminosYCondiciones,Detalle de una solicitud en estatus Terminos y condiciones,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp135DetalleTerminosYCondiciones',
PF_CP_136,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus Pendiente de firma,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp136DetallePendienteDeFirma,Detalle de una solicitud en estatus Pendiente de firma,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp136DetallePendienteDeFirma',
PF_CP_137,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus Firmada,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp137DetalleFirmada,Detalle de una solicitud en estatus Firmada,"ola6, expediente",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp137DetalleFirmada',
PF_CP_138,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus por dictaminar,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp138DetallePorDictaminar,Detalle de una solicitud en estatus Por dictaminar,"ola6, expediente",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp138DetallePorDictaminar',
PF_CP_139,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus denegada,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp139DetalleDenegada,Detalle de una solicitud en estatus Denegada,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp139DetalleDenegada',
PF_CP_140,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus aprobada,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp140DetalleAprobada,Detalle de una solicitud en estatus Aprobada,"ola6, expediente, regla_por_confirmar",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp140DetalleAprobada',
PF_CP_141,Solicitudes pantalla Expediente,Validación del detalle de expediente con un estatus Cancelado por datos erróneos,No Ejecutado,si,ExpedienteEstadosPruebas#pfCp141DetalleCanceladoPorDatosErroneos,Detalle de una solicitud en estatus Cancelado por datos erróneos,"ola6, expediente",mvn test -Dtest='ExpedienteEstadosPruebas#pfCp141DetalleCanceladoPorDatosErroneos',
PF_CP_142,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón ZIP,No Ejecutado,si,DescargasPruebas#descargarElZipDelExpediente,El ZIP de la solicitud trae los documentos cargados,descargas,mvn test -Dtest='DescargasPruebas#descargarElZipDelExpediente',
PF_CP_143,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón ZIP Griffin,No Ejecutado,si,DescargasPruebas#descargarElZipGriffin,El ZIP Griffin trae el documento de Renaper y el firmado,descargas,mvn test -Dtest='DescargasPruebas#descargarElZipGriffin',
PF_CP_144,Solicitudes pantalla Expediente,Validacion de la funcionalidad del boton de Aprobar solicitudes,No Ejecutado,si,ExpedienteDictamenPruebas#pfCp144PopupDeAprobarSolicitudes,El boton Aprobar solicitudes confirma cuantas se aprobaran,"ola6, expediente",mvn test -Dtest='ExpedienteDictamenPruebas#pfCp144PopupDeAprobarSolicitudes',
PF_CP_145,Solicitudes pantalla Expediente,Validacion de la funcionalidad del boton de Denegar solicitudes,No Ejecutado,si,ExpedienteDictamenPruebas#pfCp145PopupDeDenegarSolicitudes,El boton Denegar solicitudes confirma cuantas se denegaran,"ola6, expediente",mvn test -Dtest='ExpedienteDictamenPruebas#pfCp145PopupDeDenegarSolicitudes',
PF_CP_146,Solicitudes pantalla Expediente,Validación de la funcionalidad del botón Doc. Griffin,No Ejecutado,si,ExpedienteDictamenPruebas#pfCp146DocGriffinDelDetalle,Doc. Griffin descarga el expediente comprimido,"ola6, expediente, descargas",mvn test -Dtest='ExpedienteDictamenPruebas#pfCp146DocGriffinDelDetalle',
PF_CP_147,Expediente pantalla Costos,Validación de la pantalla del menú Costos,No Ejecutado,si,NavegacionPruebas#pfCp147PantallaCostos,Pantalla de Costos,navegacion,mvn test -Dtest='NavegacionPruebas#pfCp147PantallaCostos',
PF_CP_148,Expediente pantalla Costos,Validacion del boton de Seleccionar de un producto,No Ejecutado,si,TasasCostosYReportesPruebas#pfCp148CostosDelProducto,Seleccionar un producto abre su pantalla de costos,consultas,mvn test -Dtest='TasasCostosYReportesPruebas#pfCp148CostosDelProducto',
PF_CP_149,Expediente pantalla Costos,Validacion del boton de Agregar costo,No Ejecutado,si,CostosYCuotasPruebas#pfCp149PopupDeAgregarCosto,El popup de Agregar costo pide todos los importes,"ola6, costos",mvn test -Dtest='CostosYCuotasPruebas#pfCp149PopupDeAgregarCosto',
PF_CP_150,Expediente pantalla Costos,Validacion del boton de Editar costo,No Ejecutado,si,CostosYCuotasPruebas#pfCp150PopupDeEditarCosto,El popup de Editar costo trae los importes del registro,"ola6, costos",mvn test -Dtest='CostosYCuotasPruebas#pfCp150PopupDeEditarCosto',
PF_CP_151,Expediente pantalla Cuotas generales,Validación de la pantalla del menú Cuotas generales,No Ejecutado,si,NavegacionPruebas#pfCp151PantallaCuotasGenerales,Pantalla de Cuotas generales,navegacion,mvn test -Dtest='NavegacionPruebas#pfCp151PantallaCuotasGenerales',
PF_CP_152,Expediente pantalla Cuotas generales,Validacion del boton de guardar,No Ejecutado,si,CostosYCuotasPruebas#pfCp152CuotasGenerales,Cuotas Generales permite capturar los importes y guardarlos,"ola6, cuotas",mvn test -Dtest='CostosYCuotasPruebas#pfCp152CuotasGenerales',
PF_CP_153,Expediente pantalla Reportes,Validación de la pantalla del menú Reportes,No Ejecutado,si,NavegacionPruebas#pfCp153PantallaReportes,Pantalla de Reportes con sus filtros,navegacion,mvn test -Dtest='NavegacionPruebas#pfCp153PantallaReportes',
PF_CP_154,Expediente pantalla Reportes,Validación de generación de reporte con el filtro de reporte general,No Ejecutado,si,DescargasPruebas#generarElReporteGeneral,El reporte general se descarga con sus columnas,"descargas, regla_por_confirmar",mvn test -Dtest='DescargasPruebas#generarElReporteGeneral',
PF_CP_155,Expediente pantalla Reportes,"Validación de generación de reporte sin información con el filtro de reporte general, reporte totales url o reporte totales mensajes whatsapp",No Ejecutado,si,DescargasPruebas#generarUnReporteSinResultados,Un reporte sin informacion avisa que no hay resultados,descargas,mvn test -Dtest='DescargasPruebas#generarUnReporteSinResultados',
PF_CP_156,Expediente pantalla Reportes,Validación del botón limpiar filtros,No Ejecutado,si,TasasCostosYReportesPruebas#pfCp156LimpiarFiltrosDeReportes,Limpiar filtros borra los datos del filtro de Reportes,consultas,mvn test -Dtest='TasasCostosYReportesPruebas#pfCp156LimpiarFiltrosDeReportes',
PF_CP_157,Expediente pantalla Reportes,Validación de generación de reporte con el filtro de reporte totales URL,No Ejecutado,si,DescargasPruebas#generarElReporteDeTotalesUrl,El reporte de totales URL trae sus dos hojas,descargas,mvn test -Dtest='DescargasPruebas#generarElReporteDeTotalesUrl',
PF_CP_158,Expediente pantalla Reportes,Validación de generación de reporte con el filtro de reporte totales mensaje whatsapp,No Ejecutado,si,DescargasPruebas#generarElReporteDeTotalesDeWhatsApp,El reporte de totales de WhatsApp trae sus dos hojas,descargas,mvn test -Dtest='DescargasPruebas#generarElReporteDeTotalesDeWhatsApp',
PF_CP_159,Expediente pantalla Dashboard Firmas,Validación de la pantalla del menú Dashboard Firmas,No Ejecutado,si,NavegacionPruebas#pfCp159PantallaDashboard,Pantalla de Dashboard de firmas,navegacion,mvn test -Dtest='NavegacionPruebas#pfCp159PantallaDashboard',
PF_CP_160,Expediente pantalla Dashboard Firmas,Validación de la pantalla del menú Dashboard Firmas,No Ejecutado,si,TasasCostosYReportesPruebas#pfCp160GraficaDelDashboard,El dashboard muestra la grafica con sus indicadores,consultas,mvn test -Dtest='TasasCostosYReportesPruebas#pfCp160GraficaDelDashboard',
